Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,F,SI1,0.3,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,665.00,199.50,LG234660023,4.32,4.35,2.68,57.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG234660023.pdf,https://s3.amazonaws.com/lgdvideos/LG234660023.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,202.30,LG265707287,4.49,4.51,2.78,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707287.pdf,https://s3.amazonaws.com/lgdvideos/LG265707287.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,EXCELLENT,VERY GOOD,,-65.00,595.00,202.30,LG270767346,4.48,4.5,2.77,57.0,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767346.pdf,https://s3.amazonaws.com/lgdvideos/LG270767346.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,VERY GOOD,EXCELLENT,,-65.00,595.00,202.30,LG265707670,4.49,4.51,2.77,56.5,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707670.pdf,https://s3.amazonaws.com/lgdvideos/LG265707670.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,202.30,LG265707283,4.6,4.62,2.7,59.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707283.pdf,https://s3.amazonaws.com/lgdvideos/LG265707283.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,202.30,LG265707653,4.5,4.52,2.74,58.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707653.pdf,https://s3.amazonaws.com/lgdvideos/LG265707653.mp4
ROUND,I,SI1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,202.30,LG265707660,4.48,4.52,2.77,57.0,MEDIUM TO SLIGHTLY THICK (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707660.pdf,https://s3.amazonaws.com/lgdvideos/LG265707660.mp4
ROUND,J,SI1,0.39,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,525.00,204.75,LG286707562,4.75,4.77,2.84,59.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG286707562.pdf,https://s3.amazonaws.com/lgdvideos/LG286707562.mp4
ROUND,I,SI1,0.35,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,208.25,LG239687705,4.51,4.54,2.79,57.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG239687705.pdf,            
ROUND,I,SI1,0.35,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,208.25,LG265707582,4.51,4.53,2.78,56.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707582.pdf,            
